SKU,QTY
1006619,0
1006620,3
1006622,5
1006623,11
1006624,5
1006625,8
1006626,16
1006627,6
1006628,6
1003361,4
1003362,6
1003363,6
1003364,4
1003365,0
1003366,6
1003367,0
1003368,3
1003369,2
1003370,8
1003371,7
1003372,12
1003374,10
1003376,1
1003378,32
1003380,14
1003382,0
1003396,32
1003397,7
1003401,0
1003402,7
1003404,43
1003405,21
1003406,80
1003407,17
1003408,6
1003413,10
1003417,12
1003418,0
1003419,0
1003420,10
1003421,1
1003422,0
1006574,2
1006577,3
1006578,5
1006579,5
1006581,3
1006582,1
1006583,3
1006584,3
1006585,6
1006593,5
1006595,5
1006596,5
1006597,5
1006598,5
1006599,6
1006602,6
1006603,5
1006605,6
1006606,4
1006607,4
1006608,7
1006609,2
1006610,2
1006611,7
1006612,5
1006613,5
1006614,5
1006615,4
1006616,5
1006617,4
1006618,3
4004587,6
4004588,19
4004597,15
4004596,32
4004595,29
4004594,12
4004593,16
4004592,38
4004591,46
4004590,17
4004589,34
4004112,37
4004110,10
4004111,15
5002072,5
5002078,0
5002096,2
5002097,1
5002073,1
5002095,2
5002075,1
5002074,2
4003172,5
4003173,4
4003174,6
4003175,6
4003176,2
4003178,0
4003179,6
4003180,7
4003181,7
4003168,7
4003171,2
4003169,2
4003170,6
5002080,1
5002071,4
5002070,2
5000650,1
5000652,7
5000653,6
5000654,9
5000655,1
5000656,2
5000667,86
5000658,6
5000659,16
5000661,11
5000664,0
5000666,5
5000657,4
5002231,1
5002232,1
5002233,1
5002234,0
5002235,10
5002236,1
5002237,1
5002238,0
5002239,0
5002240,0
5002241,0
5002243,1
5002245,2
5002246,1
5002247,1
5002248,49
5002584,1
9007117,2
9007118,2
9007119,0
9007120,2
9007121,2
9007122,1
9006011,0
9006012,3
9006013,0
9006014,0
5002250,1
5002251,1
5002257,1
5002258,0
5002261,1
5002262,1
5002263,0
5002264,1
5002292,0
5002301,1
5002562,3
9007214,1
9007215,0
9007216,0
9007217,1
9007218,3
9007219,6
9007220,0
9007221,0
9007222,0
9007223,0
9007224,0
9007225,0
9007226,2
9007227,0
9005947,2
9005948,2
9005949,2
9005950,2
9005951,1
9005952,1
9005953,1
9005954,1
9005955,1
9005956,1
9005957,1
9005958,1
9005959,0
9005960,1
9005961,1
9005962,1
9005963,0
9005964,1
9005965,1
9005966,1
9005967,0
9005968,1
9005969,0
9005970,1
9005971,1
9005972,1
9005973,1
9005974,1
9005975,0
9005976,0
9005977,0
9005978,0
9005979,0
9005980,0
9005981,0
9005982,0
9005983,0
9005984,5
9005985,3
9005986,0
9005987,0
9005988,1
9005989,0
9005990,0
9005991,1
9005992,0
9005993,0
9005994,6
9005995,0
9005996,1
9005997,0
9005998,0
9005999,0
9006000,0
9006001,0
9006002,0
9006003,0
9006004,0
9006005,0
9006006,0
9006007,1
9006008,2
9006009,0
9006010,0
9005883,0
9005884,2
9005885,2
9005886,0
9005887,2
9005888,1
9005889,0
9005890,0
9005891,0
9005892,0
9005893,5
9005894,7
9005895,5
9005896,4
9005897,4
9005898,3
9005899,1
9005900,0
9005901,2
9005902,1
9005903,0
9005904,0
9005905,5
9005906,5
9005907,5
9005908,3
9005909,3
9005910,3
9005911,2
9005912,2
9005913,2
9005914,1
9005915,1
9005916,1
9005917,1
9005918,0
9005919,1
9005920,0
9005921,1
9005922,1
9005923,0
9005924,1
9005925,1
9005926,1
9005927,1
9005928,1
9005929,1
9005930,1
9005931,1
9005932,11
9005933,7
9005934,6
9005935,6
9005936,4
9005937,4
9005938,4
9005939,3
9005940,3
9005941,2
9005942,2
9005943,2
9005944,2
9005945,2
9005946,2
9005819,0
9005820,2
9005821,2
9005822,2
9005823,1
9005824,0
9005825,0
9005826,1
9005827,4
9005828,2
9005829,2
9005830,0
9005831,0
9005832,1
9005833,1
9005834,0
9005835,0
9005836,0
9005837,0
9005838,0
9005839,0
9005840,0
9005841,2
9005842,1
9005843,0
9005844,0
9005845,0
9005846,0
9005847,0
9005848,0
9005849,0
9005850,2
9005851,0
9005852,0
9005853,1
9005854,0
9005855,6
9005856,3
9005857,1
9005858,0
9005859,2
9005860,0
9005861,0
9005862,2
9005863,4
9005864,3
9005865,0
9005866,0
9005867,0
9005868,0
9005869,0
9005870,0
9005871,0
9005872,5
9005873,4
9005874,4
9005875,0
9005876,0
9005877,1
9005878,1
9005879,1
9005880,3
9005881,1
9005882,0
9005761,8
9005762,0
9005763,1
9005764,0
9005765,0
9005766,3
9005767,21
9005768,0
9005769,9
9005770,1
9005771,1
9005772,0
9005773,1
9005774,0
9005775,0
9005776,3
9005777,0
9005778,1
9005779,2
9005780,0
9005781,0
9005782,0
9005783,2
9005784,0
9005785,2
9005786,1
9005787,3
9005788,2
9005789,2
9005790,3
9005791,0
9005792,0
9005793,2
9005794,0
9005795,2
9005796,2
9005797,1
9005798,1
9005799,3
9005800,0
9005801,0
9005802,1
9005803,0
9005804,1
9005805,0
9005806,3
9005807,2
9005808,0
9005809,0
9005810,0
